,Trainining Data,MaxDepth,DT_Test_Accuracy,DT_Validation_Accuracy,DT_F1_Score
0,10,5,0.6222222222222222,0.6111111111111112,0.6310565354214193
1,20,5,0.6611111111111111,0.7222222222222222,0.6669494380238603
2,30,5,0.7277777777777777,0.7333333333333333,0.7206734817368924
3,40,5,0.7277777777777777,0.6888888888888889,0.7223742923742923
4,50,5,0.6111111111111112,0.6388888888888888,0.6030855325760054
5,60,5,0.7,0.7555555555555555,0.6745167806468845
6,70,5,0.6388888888888888,0.6666666666666666,0.6203448434101749
7,80,5,0.65,0.6833333333333333,0.6340631898468697
8,90,5,0.65,0.6777777777777778,0.6381997682164323
9,100,5,0.6388888888888888,0.6555555555555556,0.6250561977096504
10,10,12,0.7055555555555556,0.65,0.7003181777572022
11,20,12,0.7,0.7,0.6960571305388379
12,30,12,0.7555555555555555,0.7166666666666667,0.7504261186954339
13,40,12,0.8166666666666667,0.7611111111111111,0.8072338392684394
14,50,12,0.7888888888888889,0.7833333333333333,0.7815463608665478
15,60,12,0.85,0.8777777777777778,0.8430731903431727
16,70,12,0.8333333333333334,0.8277777777777777,0.8354413935126361
17,80,12,0.85,0.8333333333333334,0.8431426981395209
18,90,12,0.8444444444444444,0.8333333333333334,0.8401265555666655
19,100,12,0.8555555555555555,0.8555555555555555,0.8520997622364845
20,10,20,0.6611111111111111,0.6611111111111111,0.6546109245136231
21,20,20,0.7277777777777777,0.7055555555555556,0.7251644973118763
22,30,20,0.7444444444444445,0.7222222222222222,0.7417216807690339
23,40,20,0.8222222222222222,0.7333333333333333,0.8118461448461447
24,50,20,0.7944444444444444,0.7722222222222223,0.7869284614327887
25,60,20,0.8333333333333334,0.8444444444444444,0.8347062781966585
26,70,20,0.8444444444444444,0.8222222222222222,0.8449074111980792
27,80,20,0.8444444444444444,0.8333333333333334,0.8472671751706787
28,90,20,0.8333333333333334,0.8333333333333334,0.8309956745187534
29,100,20,0.85,0.8277777777777777,0.8493613947028582
30,10,35,0.6555555555555556,0.6333333333333333,0.6528536150207975
31,20,35,0.7277777777777777,0.7055555555555556,0.7327468046305183
32,30,35,0.7555555555555555,0.7277777777777777,0.7513186468293396
33,40,35,0.8055555555555556,0.75,0.7928236882676367
34,50,35,0.7944444444444444,0.7666666666666667,0.7877673441943435
35,60,35,0.8444444444444444,0.8722222222222222,0.8442152487820183
36,70,35,0.8333333333333334,0.8055555555555556,0.8331046143217529
37,80,35,0.8444444444444444,0.8277777777777777,0.8376015510819039
38,90,35,0.8555555555555555,0.8444444444444444,0.8496465373621028
39,100,35,0.8555555555555555,0.8388888888888889,0.8555568319451663
40,10,50,0.6777777777777778,0.6888888888888889,0.675265699747407
41,20,50,0.7111111111111111,0.7055555555555556,0.7060559620546492
42,30,50,0.7666666666666667,0.7166666666666667,0.761531738572452
43,40,50,0.75,0.7555555555555555,0.7385553467471972
44,50,50,0.8055555555555556,0.8055555555555556,0.8018270348703049
45,60,50,0.8277777777777777,0.85,0.8281228180327261
46,70,50,0.8333333333333334,0.8222222222222222,0.8351288294937333
47,80,50,0.8388888888888889,0.8333333333333334,0.8336078610749995
48,90,50,0.8333333333333334,0.8277777777777777,0.8239931546045168
49,100,50,0.8555555555555555,0.8222222222222222,0.8491385617105717
50,10,65,0.7222222222222222,0.7055555555555556,0.7186373081416355
51,20,65,0.7166666666666667,0.7388888888888889,0.7156795340769052
52,30,65,0.7666666666666667,0.7333333333333333,0.7628360818346427
53,40,65,0.8222222222222222,0.7444444444444445,0.8122017226967572
54,50,65,0.8111111111111111,0.7944444444444444,0.8058502835859249
55,60,65,0.8333333333333334,0.8611111111111112,0.8348297141573179
56,70,65,0.8333333333333334,0.8055555555555556,0.8328512241166142
57,80,65,0.85,0.8166666666666667,0.8481661594896595
58,90,65,0.8388888888888889,0.85,0.8348110506831438
59,100,65,0.8388888888888889,0.85,0.8396544411660691
