,Training Data,Gamma,SVM_Test_Accuracy,SVM_Validation_Accuracy,SVM_F1_Score
0,10,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
1,20,1,0.11666666666666667,0.12777777777777777,0.020895522388059702
2,30,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
3,40,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
4,50,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
5,60,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
6,70,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
7,80,1,0.05555555555555555,0.08888888888888889,0.010526315789473684
8,90,1,0.16111111111111112,0.23333333333333334,0.09736015084852294
9,100,1,0.07777777777777778,0.1111111111111111,0.01443298969072165
10,10,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
11,20,0.1,0.11666666666666667,0.12777777777777777,0.020895522388059702
12,30,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
13,40,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
14,50,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
15,60,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
16,70,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
17,80,0.1,0.05555555555555555,0.08888888888888889,0.010526315789473684
18,90,0.1,0.08333333333333333,0.12222222222222222,0.027007772020725386
19,100,0.1,0.08333333333333333,0.12222222222222222,0.02403158154453491
20,10,0.01,0.06111111111111111,0.09444444444444444,0.020582010582010583
21,20,0.01,0.24444444444444444,0.2222222222222222,0.2210784904750422
22,30,0.01,0.2611111111111111,0.28888888888888886,0.2887700579789829
23,40,0.01,0.3888888888888889,0.3888888888888889,0.4071871293194823
24,50,0.01,0.4722222222222222,0.48333333333333334,0.531720528615131
25,60,0.01,0.5388888888888889,0.55,0.5954140558850856
26,70,0.01,0.6,0.6222222222222222,0.6619569986368149
27,80,0.01,0.6944444444444444,0.6944444444444444,0.7522063705726378
28,90,0.01,0.7277777777777777,0.7166666666666667,0.775675282249108
29,100,0.01,0.7555555555555555,0.7222222222222222,0.7982374639960723
30,10,0.03,0.05555555555555555,0.08888888888888889,0.010526315789473684
31,20,0.03,0.11666666666666667,0.12777777777777777,0.020895522388059702
32,30,0.03,0.05555555555555555,0.08888888888888889,0.010526315789473684
33,40,0.03,0.06111111111111111,0.08888888888888889,0.020105820105820106
34,50,0.03,0.06111111111111111,0.08888888888888889,0.020105820105820106
35,60,0.03,0.07222222222222222,0.09444444444444444,0.03761030103741101
36,70,0.03,0.06111111111111111,0.1,0.020105820105820106
37,80,0.03,0.08333333333333333,0.11666666666666667,0.05366795366795366
38,90,0.03,0.1388888888888889,0.19444444444444445,0.11658762778780037
39,100,0.03,0.16111111111111112,0.17777777777777778,0.16233046574508805
40,10,0.001,0.9222222222222223,0.9388888888888889,0.9194823750316935
41,20,0.001,0.9666666666666667,0.9666666666666667,0.9636751245956596
42,30,0.001,0.9666666666666667,0.9722222222222222,0.9648695996925737
43,40,0.001,0.9722222222222222,0.9611111111111111,0.9705682314887664
44,50,0.001,0.9722222222222222,0.9666666666666667,0.9719013067242808
45,60,0.001,0.9777777777777777,0.9722222222222222,0.9765625533367469
46,70,0.001,0.9777777777777777,0.9777777777777777,0.9765625533367469
47,80,0.001,0.9722222222222222,0.9833333333333333,0.9707981088468893
48,90,0.001,0.9777777777777777,0.9833333333333333,0.9754593554593555
49,100,0.001,0.9777777777777777,0.9833333333333333,0.9753432114407724
50,10,0.003,0.7444444444444445,0.7555555555555555,0.7667137576177849
51,20,0.003,0.9222222222222223,0.9222222222222223,0.9186732538861552
52,30,0.003,0.9444444444444444,0.9555555555555556,0.9413593189005482
53,40,0.003,0.9444444444444444,0.9555555555555556,0.939494456862878
54,50,0.003,0.9666666666666667,0.9722222222222222,0.96401700493754
55,60,0.003,0.9666666666666667,0.9777777777777777,0.96401700493754
56,70,0.003,0.9722222222222222,0.9888888888888889,0.9700113267855203
57,80,0.003,0.9722222222222222,0.9888888888888889,0.9692845640671728
58,90,0.003,0.9666666666666667,0.9888888888888889,0.96401700493754
59,100,0.003,0.9666666666666667,0.9888888888888889,0.9632902422191926
